Democracy Index(2006-2021),,,,,,,,,,,,,,
Country,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2008,2006
Benin,4.19,4.58,5.09,5.74,5.61,5.67,5.72,5.65,5.87,6,6.06,6.17,6.06,6.16
Botswana,7.73,7.62,7.81,7.81,7.81,7.87,7.87,7.87,7.98,7.85,7.63,7.63,7.47,7.6
Cabo Verde,7.65,7.65,7.78,7.88,7.88,7.94,7.81,7.81,7.92,7.92,7.92,7.94,7.81,7.43
Ethiopia,3.3,3.38,3.44,3.35,3.42,3.6,3.83,3.72,3.83,3.72,3.79,3.68,4.52,4.72
Kenya,5.05,5.05,5.18,5.11,5.11,5.33,5.33,5.13,5.13,4.71,4.71,4.71,4.79,5.08
Nigeria,4.11,4.1,4.12,4.44,4.44,4.5,4.62,3.76,3.77,3.77,3.83,3.47,3.53,3.52
Senegal,5.53,5.67,5.81,6.15,6.15,6.21,6.08,6.15,6.15,6.09,5.51,5.27,5.37,5.37
South Africa,7.05,7.05,7.24,7.24,7.24,7.41,7.56,7.82,7.9,7.79,7.79,7.79,7.91,7.91
Sudan,2.47,2.54,2.7,2.15,2.15,2.37,2.37,2.54,2.54,2.38,2.38,2.42,2.81,2.9
Tanzania,5.1,5.1,5.16,5.41,5.47,5.76,5.58,5.77,5.77,5.88,5.64,5.64,5.28,5.18
Zambia,5.72,4.86,5.09,5.61,5.68,5.99,6.28,6.39,6.26,6.26,6.19,5.68,5.25,5.25
